,episode,url,start_timestamp,start,end,question,context
111,Episode 27,https://www.youtube.com/watch?v=_e3bnExOcOg,02:49 ,169,0, Am I overthinking my portfolio allocation?,
112,Episode 27,https://www.youtube.com/watch?v=_e3bnExOcOg,04:58 ,298,0, 4% rule for retirement withdrawals.,
113,Episode 27,https://www.youtube.com/watch?v=_e3bnExOcOg,09:32 ,572,0, Can recessions become self fulfilling?,
114,Episode 27,https://www.youtube.com/watch?v=_e3bnExOcOg,14:22 ,862,0," Explaining ""soft landing"" and ""hard landing"" in market terms.",
115,Episode 27,https://www.youtube.com/watch?v=_e3bnExOcOg,19:53 ,1193,0, What advice would you give young investors experiencing a bear market?,
116,Episode 28,https://www.youtube.com/watch?v=ck3UVRHqEHE,02:58 ,178,0,  Are ETF's/Index Funds safer compared to individual stocks?,
117,Episode 28,https://www.youtube.com/watch?v=ck3UVRHqEHE,08:51 ,531,0, The data against crypto being an inflation hedge has been mounting for over a year now. Can we finally put the argument to bed and call it a myth? ,
118,Episode 28,https://www.youtube.com/watch?v=ck3UVRHqEHE,14:21 ,861,0, Could you please explain how capital gains affects your AGI and taxable income?,
119,Episode 28,https://www.youtube.com/watch?v=ck3UVRHqEHE,19:01 ,1141,0, How does an individual investor get more money into their IRA accounts if they've already made their contribution for the year?,
120,Episode 28,https://www.youtube.com/watch?v=ck3UVRHqEHE,22:41 ,1361,0, Direct indexing and its benefits versus passive indexing in a taxable account.,
121,Episode 29,https://www.youtube.com/watch?v=xgFDuOfhKv8,01:52 ,112,0, Is there a case for going into cash and then lump summing into a bottom that you would be comfortable with?  ,
122,Episode 29,https://www.youtube.com/watch?v=xgFDuOfhKv8,07:21 ,441,0," Does it makes sense to hedge a portfolio of index funds for downside protection, because a market crash can wipe out years of investing returns?",
123,Episode 29,https://www.youtube.com/watch?v=xgFDuOfhKv8,11:22 ,682,0, Trying to figure out how to be opportunistic in a bear market.,
124,Episode 29,https://www.youtube.com/watch?v=xgFDuOfhKv8,14:52 ,892,0,  What would you do with the $1.2 million dollars in savings?,
125,Episode 29,https://www.youtube.com/watch?v=xgFDuOfhKv8,21:44 ,1304,0, Explaining composite rates.,
126,Episode 30,https://www.youtube.com/watch?v=bqwNo4jZZNw,02:28 ,148,0, Do you have any tips on writing? ,
127,Episode 30,https://www.youtube.com/watch?v=bqwNo4jZZNw,07:47 ,467,0, How should my life outlook impact my âretirementâ investing choices?,
128,Episode 30,https://www.youtube.com/watch?v=bqwNo4jZZNw,14:06 ,846,0," If my portfolio declines as it has over the past 6 months, am I still getting the benefits of compounding?",
129,Episode 30,https://www.youtube.com/watch?v=bqwNo4jZZNw,18:46 ,1126,0, Should I just go 40/60 or 30/70?,
130,Episode 30,https://www.youtube.com/watch?v=bqwNo4jZZNw,23:43 ,1423,0, Stock purchase plans.,
131,Episode 31,https://www.youtube.com/watch?v=hRBGV_UM9Bs,01:09 ,69,0, Helping dad with his finances.,
132,Episode 31,https://www.youtube.com/watch?v=hRBGV_UM9Bs,07:13 ,433,0, How to invest in an HSA.,
133,Episode 31,https://www.youtube.com/watch?v=hRBGV_UM9Bs,12:06 ,726,0, When to lower international exposure.,
134,Episode 31,https://www.youtube.com/watch?v=hRBGV_UM9Bs,17:53 ,1073,0, Benefits of REITs vs directly owning real estate rentals.,
135,Episode 31,https://www.youtube.com/watch?v=hRBGV_UM9Bs,23:53 ,1433,0, Mega backdoor Roths.,
136,Episode 32,https://www.youtube.com/watch?v=gQ8P6RLheXY,05:43 ,343,0, Hedging the price of your home.,
137,Episode 32,https://www.youtube.com/watch?v=gQ8P6RLheXY,09:32 ,572,0, De risking your portfolio.,
138,Episode 32,https://www.youtube.com/watch?v=gQ8P6RLheXY,13:29 ,809,0, The New Zealand housing market.,
139,Episode 32,https://www.youtube.com/watch?v=gQ8P6RLheXY,17:36 ,1056,0, investing in international stocks.,
140,Episode 32,https://www.youtube.com/watch?v=gQ8P6RLheXY,23:12 ,1392,0, Bear market allocations.,
141,Episode 33,https://www.youtube.com/watch?v=B_vGqvu8OAc,04:43 ,283,0, Paying down debt.,
142,Episode 33,https://www.youtube.com/watch?v=B_vGqvu8OAc,08:04 ,484,0, Bond allocations.,
143,Episode 33,https://www.youtube.com/watch?v=B_vGqvu8OAc,14:25 ,865,0, Saving for a move.,
144,Episode 33,https://www.youtube.com/watch?v=B_vGqvu8OAc,18:17 ,1097,0, Tough 401K situations.,
145,Episode 33,https://www.youtube.com/watch?v=B_vGqvu8OAc,24:44 ,1484,0, Managing a HELOC.,
146,Episode 34,https://www.youtube.com/watch?v=9yOXhm75ImM,04:59 ,299,0, Good credit card to get for a family.,
147,Episode 34,https://www.youtube.com/watch?v=9yOXhm75ImM,08:44 ,524,0, Credit cards that don't charge a balance transfer fee.,
148,Episode 34,https://www.youtube.com/watch?v=9yOXhm75ImM,12:28 ,748,0, Are there any good travel card signups/rewards today?,
149,Episode 34,https://www.youtube.com/watch?v=9yOXhm75ImM,20:10 ,1210,0, Airline rewards cards.,
150,Episode 34,https://www.youtube.com/watch?v=9yOXhm75ImM,25:35 ,1535,0, Has inflation hit credit card rewards points?,
151,Episode 34,https://www.youtube.com/watch?v=9yOXhm75ImM,28:50 ,1730,0, How many credit cards is too many?,
152,Episode 34,https://www.youtube.com/watch?v=9yOXhm75ImM,38:25 ,2305,0, Other options than Chase Sapphire reserve card.,
153,Episode 35,https://www.youtube.com/watch?v=RWU-0BqRcFM,04:24 ,264,0, What to Buy in a Bear Market,
154,Episode 35,https://www.youtube.com/watch?v=RWU-0BqRcFM,09:47 ,587,0, Investing vs Paying Off 401(k) Loan,
155,Episode 35,https://www.youtube.com/watch?v=RWU-0BqRcFM,13:53 ,833,0, Capital Loss Deductions,
156,Episode 35,https://www.youtube.com/watch?v=RWU-0BqRcFM,18:02 ,1082,0, Robo Advisors vs Target Date Funds,
157,Episode 35,https://www.youtube.com/watch?v=RWU-0BqRcFM,23:30 ,1410,0, Converting to Roth in a Downturn,
158,Episode 36,https://www.youtube.com/watch?v=AyjgVnK4qfo,04:15 ,255,0, Planning for a home purchase.,
159,Episode 36,https://www.youtube.com/watch?v=AyjgVnK4qfo,10:00 ,600,0, When to ditch your 401(k) match.,
160,Episode 36,https://www.youtube.com/watch?v=AyjgVnK4qfo,14:40 ,880,0, The 4% rule.,
161,Episode 36,https://www.youtube.com/watch?v=AyjgVnK4qfo,19:12 ,1152,0, Bond and equity allocations.,
162,Episode 36,https://www.youtube.com/watch?v=AyjgVnK4qfo,23:45 ,1425,0, Fidelity allocations.,
163,Episode 37,https://www.youtube.com/watch?v=qOhupkR89aw,03:43 ,223,0, Buy the dip or invest in my home?,
164,Episode 37,https://www.youtube.com/watch?v=qOhupkR89aw,08:59 ,539,0, Is wealth destroyed or allocated? ,
165,Episode 37,https://www.youtube.com/watch?v=qOhupkR89aw,13:49 ,829,0, Changing risk tolerance.,
166,Episode 37,https://www.youtube.com/watch?v=qOhupkR89aw,19:01,1141,0, Unexpected wedding gifts.,
167,Episode 37,https://www.youtube.com/watch?v=qOhupkR89aw,24:45 ,1485,0, What value does a financial advisor provide?,
168,Episode 38,https://www.youtube.com/watch?v=KHWYU_oJlzw,03:09 ,189,0, Real estate vs. bonds vs. stocks.,
169,Episode 38,https://www.youtube.com/watch?v=KHWYU_oJlzw,07:36 ,456,0, When to take profits.,
170,Episode 38,https://www.youtube.com/watch?v=KHWYU_oJlzw,13:18 ,798,0, Lump sum investments into an index fund.,
171,Episode 38,https://www.youtube.com/watch?v=KHWYU_oJlzw,17:52 ,1072,0, Transferring IRA balance.,
172,Episode 38,https://www.youtube.com/watch?v=KHWYU_oJlzw,22:45 ,1365,0, Backdoor roth conversions.,
173,Episode 39,https://www.youtube.com/watch?v=DWitVoWQ5hA,05:00 ,300,0, Savings rates.,
174,Episode 39,https://www.youtube.com/watch?v=DWitVoWQ5hA,09:54 ,594,0, When a bear market is technically over.,
175,Episode 39,https://www.youtube.com/watch?v=DWitVoWQ5hA,13:40 ,820,0, Big losses.,
176,Episode 39,https://www.youtube.com/watch?v=DWitVoWQ5hA,18:45 ,1125,0, Reducing taxable income.,
177,Episode 39,https://www.youtube.com/watch?v=DWitVoWQ5hA,24:25 ,1465,0, Moving tax brackets.,
178,Episode 40,https://www.youtube.com/watch?v=lmuRSF5ULbY,03:08 ,188,0, Investing a lump sum.,
179,Episode 40,https://www.youtube.com/watch?v=lmuRSF5ULbY,07:38 ,458,0, Investing for dependents. ,
180,Episode 40,https://www.youtube.com/watch?v=lmuRSF5ULbY,10:14 ,614,0, Dealing with low rate assets.,
181,Episode 40,https://www.youtube.com/watch?v=lmuRSF5ULbY,14:04 ,844,0, Buying vs. renting.,
182,Episode 40,https://www.youtube.com/watch?v=lmuRSF5ULbY,20:52 ,1252,0, Finding a new advisor.,
183,Episode 40,https://www.youtube.com/watch?v=lmuRSF5ULbY,25:41 ,1541,0, 401k investing.,
184,Episode 41,https://www.youtube.com/watch?v=1ZBCrXCAfi0,02:57 ,177,0, Inflation linked bonds.,
185,Episode 41,https://www.youtube.com/watch?v=1ZBCrXCAfi0,07:09 ,429,0, Diversifying fixed income exposure.,
186,Episode 41,https://www.youtube.com/watch?v=1ZBCrXCAfi0,11:03,663,0, Prospecting for younger clients as a financial advisor.,
187,Episode 41,https://www.youtube.com/watch?v=1ZBCrXCAfi0,18:00 ,1080,0, Selling or HODLing.,
188,Episode 41,https://www.youtube.com/watch?v=1ZBCrXCAfi0,23:07 ,1387,0, Allocating to bonds as a young person.,
189,Episode 42,https://www.youtube.com/watch?v=E4lzOH0r4lE,04:28 ,268,0, Downgrading to one income.,
190,Episode 42,https://www.youtube.com/watch?v=E4lzOH0r4lE,09:08 ,548,0, Prepaying for college.,
191,Episode 42,https://www.youtube.com/watch?v=E4lzOH0r4lE,12:58 ,778,0, Save or invest inherited money.,
192,Episode 42,https://www.youtube.com/watch?v=E4lzOH0r4lE,20:49 ,1249,0, Investing during retirement.,
193,Episode 42,https://www.youtube.com/watch?v=E4lzOH0r4lE,24:45 ,1485,0, optimizing unrealized capital losses.,
194,Episode 42,https://www.youtube.com/watch?v=E4lzOH0r4lE,28:36 ,1716,0, Setting aside IRA contributions.,
195,Episode 43,https://www.youtube.com/watch?v=_0UTiPSc5F8,02:21 ,141,0, Evolution of savings rates,
196,Episode 43,https://www.youtube.com/watch?v=_0UTiPSc5F8,07:13 ,433,0, Savings accounts vs short term bonds,
197,Episode 43,https://www.youtube.com/watch?v=_0UTiPSc5F8,10:26 ,626,0, Rethinking a retirement plan,
198,Episode 43,https://www.youtube.com/watch?v=_0UTiPSc5F8,15:27 ,927,0, Restricted stock units,
199,Episode 43,https://www.youtube.com/watch?v=_0UTiPSc5F8,20:13 ,1213,0, Exercising startup shares,
200,Episode 43,https://www.youtube.com/watch?v=_0UTiPSc5F8,27:14 ,1634,0, Maxing out I savings bonds,
201,Episode 44,https://www.youtube.com/watch?v=eGB6HXtMZ7A,03:31 ,211,0, Living in high cost areas.,
202,Episode 44,https://www.youtube.com/watch?v=eGB6HXtMZ7A,08:15 ,495,0, low cost indexing vs paying for an advisor,
203,Episode 44,https://www.youtube.com/watch?v=eGB6HXtMZ7A,12:16 ,736,0, Conned out of money,
204,Episode 44,https://www.youtube.com/watch?v=eGB6HXtMZ7A,18:07 ,1087,0, Selling land,
205,Episode 44,https://www.youtube.com/watch?v=eGB6HXtMZ7A,22:16 ,1336,0,Paying down debt vs saving for an emergency,
206,Episode 45,https://www.youtube.com/watch?v=6y1qi9mpkgs,04:44 ,284,0, Leasing vs Buying,
207,Episode 45,https://www.youtube.com/watch?v=6y1qi9mpkgs,09:44 ,584,0, Mortgage Free Strategy,
208,Episode 45,https://www.youtube.com/watch?v=6y1qi9mpkgs,15:15 ,915,0," Writing covered calls seems too easy, what am I missing?",
209,Episode 45,https://www.youtube.com/watch?v=6y1qi9mpkgs,18:58 ,1138,0, Should set up a trust or estate?,
210,Episode 45,https://www.youtube.com/watch?v=6y1qi9mpkgs,21:53 ,1313,0, Is is time to take control of my IRA?,
211,Episode 46,https://www.youtube.com/watch?v=j5RNh_ruZOM,06:18 ,378,0, TIPS ETFs,
212,Episode 46,https://www.youtube.com/watch?v=j5RNh_ruZOM,11:42 ,702,0, Buying a mortgage,
213,Episode 46,https://www.youtube.com/watch?v=j5RNh_ruZOM,16:10 ,970,0, Putting the fed funds rate on the blockchain,
214,Episode 46,https://www.youtube.com/watch?v=j5RNh_ruZOM,20:37 ,1237,0, Pension tax planning,
215,Episode 46,https://www.youtube.com/watch?v=j5RNh_ruZOM,26:09 ,1569,0, building an emergency fund,
216,Episode 46,https://www.youtube.com/watch?v=j5RNh_ruZOM,30:44 ,1844,0, Backdoor Roth,
217,Episode 47,https://www.youtube.com/watch?v=1FkMUZPLtzw,02:34 ,154,0, Timing the bond market,
218,Episode 47,https://www.youtube.com/watch?v=1FkMUZPLtzw,07:15 ,435,0," I'm new to finance, what do I do with this $400k?",
219,Episode 47,https://www.youtube.com/watch?v=1FkMUZPLtzw,10:12 ,612,0, Michael's pitch for muni bonds,
220,Episode 47,https://www.youtube.com/watch?v=1FkMUZPLtzw,15:20 ,920,0, Bear markets and uncertainty,
